,大腿角度R,大腿角度L,膝角度R,膝角度L,大腿直筋肉長さR
0,75.96331434449165,56.89507429208856,6.010250674559437,1.9758865249306465,261.56097537090477
1,132.1162555865729,105.18653027431048,1.8184913172946118,20.22314734665397,224.190072196011
2,5.9690178026529965,8.924431066702061,8.512794983258296,19.04724969117828,277.36260205726217
3,5.130402045503681,11.081157500585752,13.56001479950056,20.140397791803863,291.72867295693356
4,2.276870517269771,11.642012355754732,11.327018916986107,20.797096182737782,280.48186167966355
5,171.97829550884336,173.6144104429664,175.69738575612737,177.55132560750997,504.8411262411026
6,165.24996040769713,167.88110928308865,178.75548154836744,178.03518776726563,488.061421041341
7,162.06837980111933,164.83783945613396,178.97061064437298,178.6039862613245,527.6711406608428
8,166.875699252862,170.2495162216421,172.88031343915637,176.59312604185337,561.658930713158
9,175.04019981245236,171.26516834927554,179.3324182680258,167.86550318735604,586.5353701455092
10,177.68056197648875,177.37584904758117,178.9496949944918,173.2915283105469,582.0684985943806
11,179.99030638075234,179.4892517966702,178.83854453724766,174.93195785122055,623.566432829684
12,177.84667113372166,178.89551036312412,176.82729765673872,176.18789228130032,631.185278168406
13,177.4767683451201,179.7375685439187,177.0710648401197,178.72071494422414,638.1345068730293
14,177.3201781487281,177.72118764489775,178.20319219757755,175.78206191055392,632.528762534446
15,176.1730090577056,176.86545673724726,176.78799841193742,174.75282912747514,636.3485312114287
16,176.60817835127347,177.95740114214237,176.4252398340999,174.17395351917276,624.1322008280749
17,176.74912354672637,175.9193821358646,174.1789673472122,167.9305901674474,621.267437021291
18,176.96935667073998,174.3713539608194,172.64674567990374,165.52505891853312,610.7552694601104
19,177.85784532610313,173.60991408335823,170.72281825915562,169.21755713329682,607.4860934601869
20,177.8508958937759,173.79158466403547,169.476638564405,174.81239134373013,604.7580092999746
21,178.34480341521856,171.16982244781605,172.0842413261202,173.68316248474278,597.2784336155639
22,179.10568918056728,172.57827581175778,168.99382487770973,176.751911303108,600.9572893347595
23,178.82819386128514,171.08070183590678,169.0071095821233,173.80541129653412,601.4295440938326
24,176.7292265208747,169.29591713583056,165.52279196046408,170.72268255133568,600.0761896078478
25,177.04447971332996,169.97980067888483,163.71310240574167,168.47408992821715,597.1993770168199
26,178.73548418097195,172.09525059707067,163.0370770275207,168.3455373020684,591.2059698153678
27,179.29984968134357,174.05870224077296,163.67300455217435,168.51540420238987,594.4201537401572
28,178.984777523107,175.16814936120304,164.41903908465636,169.82193130668506,593.574895847174
29,178.5029480747945,175.2647649557605,157.57393657192955,168.21909755962236,593.2630306488982
30,175.40151496472208,174.93602601816303,150.24403879399182,166.12598425134155,590.6025136199443
31,174.0253650615628,174.63642776382804,148.5067224673936,164.2641439313626,588.0456164227243
32,173.64946632405247,177.1344200995258,146.806153273245,166.1626695319304,584.1838937551229
33,172.46387883097967,176.28468209429653,144.96536299386932,163.83248548385282,583.5652220132552
34,171.47064311896247,175.0562329741532,145.19719531955045,162.45061704549565,584.0062547099784
35,170.73059924538111,173.73834430184235,145.74142075194248,160.37862082938622,582.6339173803345
36,170.27459444037567,170.39181203817245,149.3212456554901,156.49899689815095,587.149482718339
37,167.78198087979723,165.3804315203717,149.25931442077598,153.91629155032504,589.5557230715758
38,165.48061131105402,161.7533345069049,149.01742912827217,150.30505506806495,592.3856522437151
39,162.1301245863161,157.6921021990511,147.2955488988393,146.1273202328344,594.78318708803
40,159.7860019302929,155.05286214740994,145.26776953103476,143.67768614767726,598.8124589157308
41,159.5854838793804,152.85553533754117,142.56096065538745,139.97319968305402,612.6065158565902
42,155.62193879983545,146.9960703946854,141.30099195582227,131.73605265439272,597.7707201157207
43,152.72940568134894,142.89552787235982,139.42372589667357,127.7254770747457,597.6152692578146
44,147.9278387505584,135.957571760752,137.11986987635873,125.3091575731522,600.6266538041664
45,142.9834222146964,128.71060181792623,128.10635075849046,121.0701962051006,615.0627617784041
46,140.98618168072622,123.66570558213476,132.0096885073326,116.22094373241104,609.7563031521164
47,139.03310722844253,120.72964492112895,133.88011282342316,118.34975215934422,605.5438590384981
48,137.32027975918436,118.56536881041974,136.90285894379582,124.54960474651203,598.7153470939911
49,135.37577153101677,117.16374821596513,140.63555817164425,130.89545652693,586.9428486435958
50,135.6289043203896,117.67873074920024,142.60000464394653,139.67885868543564,577.5094176855596
51,135.6045711338625,116.95476264502204,146.34716208818563,145.49361125314522,566.7221995319919
52,133.8236646258336,116.33905100127505,146.69184161812024,148.4741010816259,563.4853575086593
53,135.45024744655254,117.88047514714589,147.6710490416242,149.98762665355196,567.8246266249934
54,135.6701511866502,117.82062563869714,149.24707722536533,148.84426692292786,566.3998076776828
55,136.92901850545047,119.37044985422699,149.45903482112462,150.79368824894775,569.6951479610925
56,138.6949769888912,120.76825819174461,151.4640456651776,149.96954458142943,572.3328814871762
57,139.29652305431605,121.63584530740413,150.67066946423503,147.57683539279122,565.6295790215156
58,138.25738603264324,119.75740361145651,146.3887459300454,136.22123416925916,541.0068502781245
59,135.04131873326762,121.25510219494262,140.30786883417642,133.7634029666204,540.1752647915225
