,大腿角度R,大腿角度L,膝角度R,膝角度L,大腿直筋肉長さR
0,176.34658703870153,176.44167942889032,179.7943758630463,173.0196216214583,507.4017652106867
1,176.51178795339334,176.15952971534725,179.43736433017182,172.39817868995132,508.46806648822525
2,177.56843698335638,176.89627923764309,178.09617022055173,172.36991025780873,507.7316834861263
3,178.53363789261357,178.0400410383572,177.19873826984733,173.74376069443412,507.81555602024935
4,179.29170098420127,178.70782723032897,176.92911110057608,173.80667962476957,506.3741557378037
5,179.77991490864346,179.17944645476385,176.34272270876946,178.31415380674122,504.20308281025393
6,179.28209128538396,177.40148181359842,175.97448615401086,178.69118083531552,503.88916557727754
7,178.37459804771174,175.18951289445124,174.98506047607546,173.15419660696338,502.5089448344272
8,177.00200056360916,173.49150850866218,172.9183454595649,170.28327202182894,508.78681602395307
9,176.36392135804564,172.54113501340362,173.22628653453955,169.39670905061112,504.3510289503238
10,173.1838447234806,169.0654422810881,170.47811343099158,166.99352940659287,513.0965759440421
11,170.6326177703826,165.34676277225876,167.6817335834397,161.3002166567226,508.7578196246109
12,164.00611350714425,162.17673649745254,160.3091870654216,161.3647022775122,484.3281194810655
13,163.02307067767623,158.69330166417583,159.78960659347302,157.62118375772158,480.7013052225684
14,156.98120507868313,154.57081389188423,150.92312261196003,150.6512850862672,462.4458016182248
15,153.7040920460718,152.22607179267143,147.32672766013442,146.6956717942166,451.0327174490948
16,150.89569431965268,148.99821570207965,143.9478816331281,141.81858669752344,445.99051392417766
17,148.30843922476274,146.93934130792468,140.36485429424255,138.70709234922143,444.72400301040153
18,146.0762270386865,140.7027692743117,139.80081664242525,132.04007175536728,455.09334259924765
19,142.2613933282281,136.79103304357224,135.5361547716826,127.53821669458713,451.80097078902224
20,140.65787480302322,134.21908264966075,133.93229156076546,126.5917739266012,448.8961861104013
21,139.88809633145314,132.41464862516833,132.45787524795296,123.46659393716791,451.2926643621062
22,133.8887319481017,128.81483810440025,124.35636472343421,119.79912068518234,428.20228709521217
23,131.30815817672598,126.55391562247111,122.84134231449359,118.47928091114534,422.28366324874696
24,128.06661574141964,124.7593782116831,117.98216489727197,117.93877575990165,417.1551327737153
25,126.4547814420552,123.43420033982926,118.43169249402486,117.76524703693627,423.1509523371269
26,123.47681587755993,120.98868034398164,116.37861337036931,116.02409538848775,413.97317886684465
27,121.35261274601119,118.52426360612728,114.94210835238468,113.46311431497546,412.69119244776635
28,121.24497207424596,117.82292235691912,116.13931830305147,115.95711919338362,404.7731777713411
29,119.29073048369379,116.00837428172892,113.9990420787739,113.16338739380025,399.6407579750154
30,117.16103330973753,111.90569005111858,112.95473682642374,111.60153111821886,416.50810012945476
31,116.14769753286396,111.14772870300452,111.93213961225024,110.40028313526342,414.68906520773453
32,114.59808531820583,109.4686253663288,110.30386642774644,107.88709933698723,412.69639745219956
33,113.25692111044644,108.44530092628675,109.10086112918957,106.28380802411672,411.8285605148974
34,112.871755978473,108.19259609815113,108.77069020686152,104.39185229753129,411.54587046119315
35,112.02711492374772,106.3432357863742,108.18191705775713,102.84262181164222,409.4118088531554
36,111.4372713435982,105.29499268863131,107.39616189660985,101.62055121525616,408.70543286148285
37,111.01326725458823,104.54236391455876,106.98237715650575,100.7247322029086,408.05996254824765
38,111.27054922924448,104.42003406909795,106.70310723273408,98.9718246184152,406.9059055093942
39,111.00262927948039,103.51828602739094,106.27548541582797,97.54328973840887,406.14596658665937
40,110.26530049467996,103.11099308645251,105.5680417151811,96.87857619837798,404.5970849834281
41,108.2245810339575,102.44341387689727,103.78919937620837,97.34106592542375,407.7749002238003
42,108.25008988238088,102.45795829436099,103.42351552969322,97.69522456387203,408.3145157615645
43,109.31815606694148,103.50711265926142,103.68262698509714,97.94637387051316,408.3881828267356
44,109.52932067799925,104.02254890940198,103.6845865899013,98.43202171166314,406.8857720767337
45,110.9612216622898,105.40675147607386,104.9741901505846,99.54071243044632,407.360365931552
46,113.28846721012488,106.75999447164118,106.683866357716,99.2531122799797,403.1722393560235
47,114.70638441686629,108.40781009081596,107.69357438407806,99.67820075900622,405.59403335260026
48,115.97382215670925,109.62920674771678,108.81329291111449,99.9082554391534,405.95985101223914
49,118.16670214572767,112.24173660573545,110.96764813608378,102.67698863418144,411.2532614535405
50,120.35186479695035,114.53427955214796,113.186468786039,106.32952554537714,412.90567128251314
51,121.85419224367928,116.07522694915363,114.61825887571128,108.21216512150687,418.51149697161
52,123.56790279210931,120.94637673839767,115.6957889548095,115.14964739359758,408.30369257699687
53,124.56694363819261,121.71695408961229,116.72187383552428,115.1657885838576,408.81048314209204
54,125.41458792066894,122.26833873679261,117.10530356603392,114.50302509527945,414.259280459325
55,126.8474959627969,124.55273780278515,116.14292792640168,116.52719771780278,408.5169617563346
56,129.24696038566685,125.85614727294504,117.88503155942912,117.65637826484974,409.87998448785356
57,131.13522305561526,127.44492209320273,120.27682468617031,118.16808804777283,412.02499965378854
58,133.19275203561853,128.34616330210193,122.53524908318268,118.69312309756329,417.1822747700949
59,134.84042487465123,129.31628701512008,124.49676304374304,119.05348556181075,422.0138142904608
60,136.7381095277105,131.18334950722155,126.1908761139382,121.28145625585002,427.46104900324104
61,140.1495266564503,133.427148288794,132.33428550280894,123.95947599557039,448.59988292012264
62,141.9017072634991,135.11686513693735,135.36478509513472,127.5291487604085,449.15712257267006
63,144.22895570361428,137.14408586345047,137.96603696555994,129.52095613380288,449.51445105028375
