,大腿角度R,大腿角度L,膝角度R,膝角度L,大腿直筋肉長さR
0,169.029062026219,168.57698982423142,178.3756038906444,176.36929666284354,387.1156799044205
1,41.02250274514283,29.475041380648296,81.09936104093016,76.58062395830893,164.92810081546344
2,13.036390267395168,5.856330729610116,98.1445762005174,72.938263499636,143.27624473657738
3,44.222656645758875,50.49582950612066,85.87682101307846,78.94686564797063,179.3054744240788
4,16.28797943714603,18.440917725985265,109.23362487762525,93.21437638939206,189.00335353563167
5,11.700156533341666,11.927086543999224,146.9592064842695,108.39180827941495,174.51355583583876
6,26.42491590789955,29.04486187674296,37.80819323626248,68.75169372322244,248.4083917480691
7,169.72300929250326,170.78767982232162,173.56205589483585,174.35815694458609,625.7667189390227
8,153.42044055848143,151.82698187115403,145.72895739603544,147.8014169413247,310.3827680225575
9,165.98169357181217,162.534304290105,158.8810992854057,154.9528279353622,691.755239742926
10,169.2588364405411,161.2034706154753,162.3668406060456,162.5259115536273,580.7797454593826
11,170.55030523639388,162.39627837400204,169.29803128081068,157.91616770345397,588.1487123482195
12,169.71599031891702,171.1214046043509,170.3472578659503,178.3812722430967,576.1105794732734
13,171.42544485671633,172.90656151424082,178.83078583245444,177.6067450012706,564.0376142621798
14,170.5799848913163,170.19940216126716,174.08057985685576,179.98846309165552,558.8289717958274
15,167.25902705689413,166.71191324902148,171.48211694204852,179.1037416933522,560.3938709825542
16,167.59547333896106,167.1881903143675,175.49727885059727,178.0129471235304,567.0332211466952
17,167.15037526416222,166.33935769818623,177.31228223176882,175.61210106422752,586.7733051061563
18,164.16870564501758,177.8369648148241,171.9109753973914,174.6369882945819,608.3456586744334
19,164.38946376194343,173.04081232172805,171.38911404336153,175.6754801925659,599.9029503226583
20,162.01018967620993,175.4530388288336,167.43901816545474,179.89661005830837,601.3374279684748
21,164.628326701806,174.9112445493494,164.6557857541678,169.6774626856492,622.6344265329209
22,167.88392745878994,179.8916552745314,166.8486889588886,155.30710778098918,628.7136136611009
23,173.54529455032775,179.92452924466937,170.63529055594088,143.22893705505658,640.633806328554
24,175.7145352556521,179.43177809803993,172.8812474049774,141.83158503113324,636.7816236178081
